,industry,relatedcategories
0,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
1,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
2,Personal-Care Businesses,"Waxing, Miscellaneous Personal-Care Businesses, Salon & Spa Services"
3,Personal-Care Businesses,"Senior Care, Miscellaneous Health Services, Staffing/Recruiting, Health & Wellness"
4,Personal-Care Businesses,"Salon Suites, Hair Care, Miscellaneous Business Services, Miscellaneous Personal-Care Businesses, Miscellaneous Services, Salon & Spa Services"
5,Personal-Care Businesses,"Salon Suites, Miscellaneous Business Services, Hair Care, Miscellaneous Services, Salon & Spa Services"
6,Personal-Care Businesses,"Tanning, Miscellaneous Personal-Care Businesses, Salon & Spa Services"
7,Personal-Care Businesses,"Miscellaneous Personal-Care Businesses, Health & Wellness"
8,Personal-Care Businesses,"Salon Suites, Hair Care, Salon & Spa Services"
9,Personal-Care Businesses,"Senior Care, Miscellaneous Health Services, Staffing/Recruiting"
10,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
11,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
12,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
13,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
14,Personal-Care Businesses,Senior Care
15,Personal-Care Businesses,"Hair Care, Miscellaneous Children's Businesses, Salon & Spa Services"
16,Personal-Care Businesses,"Massage & Spa Services, Miscellaneous Health Services, Salon & Spa Services, Health & Wellness"
17,Personal-Care Businesses,"Massage & Spa Services, Miscellaneous Retail Businesses, Miscellaneous Personal-Care Businesses, Salon & Spa Services, Health & Wellness"
18,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses, Staffing/Recruiting"
19,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
20,Personal-Care Businesses,"Salon Suites, Hair Care, Salon & Spa Services"
21,Personal-Care Businesses,Hair Care
22,Personal-Care Businesses,Senior Care
23,Personal-Care Businesses,"Lash & Brow Services, Miscellaneous Personal-Care Businesses, Salon & Spa Services"
24,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
25,Personal-Care Businesses,"Miscellaneous Personal-Care Businesses, Miscellaneous Health Services, Med Spas, Health & Wellness"
26,Personal-Care Businesses,"Hair Care, Miscellaneous Children's Businesses, Salon & Spa Services"
27,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
28,Personal-Care Businesses,Senior Care
29,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses, Miscellaneous Services"
30,Personal-Care Businesses,"Massage & Spa Services, Miscellaneous Health Services, Salon & Spa Services, Health & Wellness"
31,Personal-Care Businesses,"Miscellaneous Personal-Care Businesses, Miscellaneous Services, Health & Wellness"
32,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
33,Personal-Care Businesses,"Lash & Brow Services, Miscellaneous Personal-Care Businesses, Salon & Spa Services"
34,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
35,Personal-Care Businesses,"Hair Care, Salon & Spa Services"
36,Personal-Care Businesses,Hair Care
37,Personal-Care Businesses,Senior Care
38,Personal-Care Businesses,"Miscellaneous Personal-Care Businesses, Health & Wellness"
39,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses"
40,Personal-Care Businesses,"Waxing, Miscellaneous Personal-Care Businesses, Miscellaneous Services, Salon & Spa Services"
41,Personal-Care Businesses,"Massage & Spa Services, Salon & Spa Services, Health & Wellness"
42,Personal-Care Businesses,"Waxing, Miscellaneous Personal-Care Businesses, Miscellaneous Services, Salon & Spa Services"
43,Personal-Care Businesses,"Senior Care, Miscellaneous Personal-Care Businesses, Miscellaneous Health Services"
44,Personal-Care Businesses,Senior Care
45,Personal-Care Businesses,Fitness
46,Personal-Care Businesses,Senior Care
47,Personal-Care Businesses,Miscellaneous Personal-Care Businesses
48,Personal-Care Businesses,Senior Care
49,Personal-Care Businesses,Senior Care
